brand,name,rating,rating_count,ingredients_cleaned
Talenti,Dark Chocolate Cherry,4.2,48,"milk, sugar, cream, egg yolk, egg white, chocolate, cocoa powder, coconut oil, dextrose, water, cherry, canola oil, vermouth, milk fat, cocoa butter, whey, lemon, vanilla, carob bean gum, soybean lecithin, salt, natural flavor"
Talenti,Dark Chocolate Sorbetto,4.2,41,"water, sugar, cocoa powder, dextrose, coconut oil, egg yolk, egg white, chocolate, carob bean gum, salt, natural flavor, pectin"
Talenti,Sea Salt Caramel Gelato,4.1,146,"milk, skim milk, sugar, cream, egg yolk, egg, corn syrup, coconut oil, dextrose, cocoa powder, salt, carob bean gum, vanilla, soybean lecithin, natural flavor"
Talenti,Black Raspberry Chocolate Chip Gelato,4.0,105,"milk, sugar, cream, black raspberry, dextrose, chocolate, coconut oil, carob bean gum, soybean oil, vanilla, soybean lecithin"
Talenti,Vanilla Blueberry Crumble Gelato,3.9,70,"milk, sugar, cream, tapioca, dextrose, oats, coconut oil, wheat flour, blueberry, vanilla, brown sugar, natural flavor, carob bean gum, pectin, guar gum, artificial color, salt, citric acid, lemon peel"
Talenti,Madagascan Vanilla Bean Gelato,3.9,198,"milk, sugar, cream, dextrose, vanilla, sunflower lecithin, carob bean gum, guar gum, natural flavor, lemon peel"
Talenti,Raspberry Cheesecake Gelato,3.9,76,"milk, sugar, cream, cream cheese, corn syrup, flour, balsamic vinegar, egg, wheat graham flour, raspberry, vanilla, carob bean gum, modified cornstarch, palm oil, brown sugar, natural flavor, artificial color, carrageenan, honey, salt, soybean lecithin"
Talenti,Key Lime Pie Gelato,3.6,208,"milk, sugar, cream, dextrose, wheat flour, cottonseed oil, wheat graham flour, coconut oil, canola oil, carob bean gum, vanilla, palm oil, wheat bran, honey, natural flavor, salt, molasses, soybean lecithin, wheat germ, cinnamon"
Talenti,Vanilla Caramel Swirl Gelato,3.6,38,"milk, sugar, cream, skim milk, dextrose, vanilla, corn syrup, carob bean gum, natural flavor, lemon peel"
Talenti,Chocolate Chip Cookie Dough Gelato,2.8,104,"milk, sugar, cream, wheat flour, dextrose, skim milk, chocolate, vanilla, egg, cocoa powder, molasses, soybean oil, carob bean gum, rice flour, natural flavor, salt, cocoa butter, lemon peel, soybean lecithin"
