brand,name,rating,rating_count,ingredients_cleaned
Talenti,Belgian Chocolate Gelato,4.8,27,"milk, sugar, cream, egg, egg yolk, dextrose, chocolate, cocoa powder, cocoa butter, carob bean gum, soybean lecithin, natural flavor"
Talenti,Coconut Almond Chocolate Gelato,4.8,82,"milk, sugar, cream, chocolate, almonds, coconut, dextrose, soybean, sunflower oil, salt, carob bean gum, soybean lecithin, vanilla, natural flavor"
Talenti,Caramel Apple Pie Gelato,4.8,115,"milk, sugar, cream, dextrose, skim milk, wheat flour, cinnamon, apple, corn syrup, vanilla, carob bean gum, coconut oil, baking soda, egg, salt"
Talenti,Organic Oak-aged Vanilla Gelato,4.8,19,"skim milk, cream, sugar, dextrose, oakwood extract, carob bean gum, vanilla"
Talenti,Alphonso Mango Sorbetto,4.7,139,"mango, water, sugar, dextrose, lemon, carob bean gum"
Talenti,Salted Caramel Truffle,4.7,160,"milk, sugar, skim milk, cream, water, coconut oil, corn syrup, egg, egg yolk, cocoa powder, wheat flour, dextrose, palm oil, soybean oil, baking soda, vanilla, carob bean gum, sunflower lecithin, salt, soybean lecithin, natural flavor, cane syrup, butter, guar gum, cornstarch"
Talenti,Organic Ginger Matcha Gelato,4.7,21,"skim milk, cream, sugar, dextrose, ginger, matcha green tea, green tea, carob bean gum, vanilla, lemon"
Talenti,Peanut Butter Fudge Sorbetto,4.7,77,"water, peanut, sugar, dextrose, salt, cocoa powder, corn syrup, coconut oil, chocolate, cornstarch, vanilla, carob bean gum, guar gum, xanthan gum"
Talenti,Roman Raspberry Sorbetto,4.7,161,"raspberry, water, sugar, dextrose, lemon, carob bean gum"
Talenti,Mediterranean Mint Gelato,4.7,324,"milk, sugar, cream, chocolate, dextrose, milk fat, cocoa butter, sunflower lecithin, carob bean gum, natural flavor, guar gum, vanilla, soybean lecithin, mint leaf extractives"
