brand,name,rating,rating_count,ingredients
BenJerrys,Everything But The...®,3.8,72,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, PEANUTS, ROASTED ALMONDS (ALMONDS, PEANUT OIL), PARTIALLY DEFATTED PEANUT FLOUR, DRIED CANE SYRUP, BUTTER (CREAM, SALT), VANILLA EXTRACT, MILK, COCOA, SOY LECITHIN, ALMONDS, SALT, GUAR GUM, NATURAL FLAVORS, MILK FAT, BUTTEROIL, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), CARRAGEENAN, CORN MALTODEXTRIN"
BenJerrys,Salted Caramel Core,3.7,208,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, BROWN SUGAR, SUGAR, MILK, WHEAT FLOUR, EGG YOLKS, CORN SYRUP, EGGS, BUTTER (CREAM, SALT), BUTTEROIL, PECTIN, SEA SALT, SOYBEAN OIL, VANILLA EXTRACT, GUAR GUM, SOY LECITHIN, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), BAKING SODA, SALT, CARRAGEENAN, LACTASE"
BenJerrys,Cannoli,3.6,70,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER),  WATER, CORN SYRUP, COCONUT OIL, SUGAR, DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, MILK, COCOA, NATURAL FLAVOR, GUAR GUM, SOY LECITHIN, BUTTER OIL, NATURAL FLAVORS, LOCUST BEAN GUM, SALT, CITRIC ACID, VANILLA BEAN SEEDS, SOYBEAN OIL, TAPIOCA STARCH, LACTIC ACID, CARRAGEENAN"
BenJerrys,Brownie Batter Core,3.5,108,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA PROCESSED WITH ALKALI, EGG YOLKS, WHEAT FLOUR, BUTTER (CREAM, SALT), CHOCOLATE LIQUOR, COCONUT OIL, CORN SYRUP, COCOA POWDER, SOYBEAN OIL, INVERT SUGAR, EGGS, CANOLA OIL, SALT, GUAR GUM, EGG WHITES, CARRAGEENAN, NATURAL FLAVOR, SOY LECITHIN, BAKING SODA, VANILLA EXTRACT, MALTED BARLEY FLOUR"
BenJerrys,Chocolate Fudge Brownie,3.4,204,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), WHEAT FLOUR, COCOA POWDER, SOYBEAN OIL, EGG YOLKS, INVERT CANE SUGAR, EGGS, EGG WHITES, GUAR GUM, SALT, CARRAGEENAN, VANILLA EXTRACT, MALTED BARLEY FLOUR, SODIUM BICARBONATE"
BenJerrys,"Red, White & Blueberry",3.4,39,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), BLUEBERRY PUREE CONCENTRATE, STRAWBERRIES, EGG YOLKS, WHEAT FLOUR, DRIED CANE SYRUP, SUGAR, BUTTER (CREAM, SALT), RASPBERRY PUREE, SOYBEAN OIL, VANILLA EXTRACT, EGGS, GUAR GUM, BAKING SODA, SALT, CARRAGEENAN, LEMON JUICE CONCENTRATE"
BenJerrys,Chillin' the Roast™,3.3,172,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COFFEE, WHEAT FLOUR, MILK PROTEIN CONCENTRATE, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, GUAR GUM, NATURAL FLAVOR, SALT, CORN STARCH, CANOLA OIL, RUM, SOY LECITHIN, CHOCOLATE, BAKING SODA, CARRAGEENAN"
BenJerrys,"Wake & "" No Bake "" Cookie Dough Core",3.3,68,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, SOYBEAN OIL, PEANUTS, EGG YOLKS, OATS, WHEAT FLOUR, BUTTER (CREAM, SALT), COCONUT OIL, PEANUT OIL, COCOA (PROCESSED WITH ALKALI), NATURAL FLAVOR, SALT, BROWN SUGAR, EGGS, VANILLA EXTRACT, COCOA POWDER, GUAR GUM, BAKING SODA, CARRAGEENAN, MILK FAT, SOY LECITHIN"
BenJerrys,Coffee Toffee Bar Crunch,2.9,302,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, BUTTER (CREAM, SALT), ALMONDS, COCOA (PROCESSED WITH ALKALI), MILK, SOY LECITHIN, COCOA, NATURAL FLAVOR, SALT, VANILLA EXTRACT, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), GUAR GUM, CARRAGEENAN"
BenJerrys,Chocolate Chip Cookie Dough Core,1.8,166,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, SOYBEAN OIL, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, CHOCOLATE CHIPS (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, SOY LECITHIN, NATURAL FLAVOR), BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), CORN SYRUP, NATURAL FLAVOR, COCOA POWDER, EGGS, MOLASSES, SALT, GUAR GUM, BROWN SUGAR, CHOCOLATE LIQUOR, VANILLA EXTRACT, SOY LECITHIN, CARRAGEENAN, BAKING SODA, COCOA BUTTER"
