brand,name,rating,rating_count,ingredients
Breyers,Extra Creamy Chocolate,3.1,13,"MILK, SUGAR, CORN SYRUP, CREAM, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, VITAMIN A PALMITATE, NATURAL FLAVOR"
Breyers,Peach,3.0,49,"MILK, PEACHES, SUGAR, CORN SYRUP, CREAM, WHEY, VEGETABLE GUMS, CAROB BEAN, TARA, GUAR, MONO AND DIGLYCERIDES, NATURAL FLAVOR, VITAMIN A PALMITATE"
Breyers,Rocky Road,3.0,42,"SKIM MILK, CORN SYRUP, WATER, SUGAR, FRUCTOSE, COCONUT OIL, DUTCHED COCOA (PROCESSED WITH ALKALI), CREAM, WHEY, ROASTED ALMONDS, ALMONDS, PEANUT OIL, VEGETABLE GUMS, GUAR, CAROB BEAN, WHEY PROTEIN CONCENTRATE, MONO AND DIGLYCERIDES, COCOA, SALT, SOY LECITHIN, BUTTER OIL, NATURAL FLAVOR, CARRAGEENAN"
Breyers,Cherry Vanilla,3.0,40,"MILK, SUGAR, CORN SYRUP, CHERRIES, CREAM, WHEY, WATER, PLUM, CHERRY AND BLACK CARROT CONCENTRATES (FOR COLOR), PLUM CONCENTRATE (FOR COLOR), CHERRY CONCENTRATE (FOR COLOR), BLACK CARROT CONCENTRATE (FOR COLOR), VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, CITRIC ACID, VANILLA BEANS, NATURAL FLAVOR, CARRAGEENAN, VITAMIN A PALMITATE"
Breyers,CarbSmart™ Peanut Butter,2.8,88,"MILK, CREAM, SORBITOL, MALTODEXTRIN (CORN), PEANUTS, WATER, WHEY, GLYCERIN, SUGAR, MONO AND DIGLYCERIDES, CARAMEL (FOR COLOR), VEGETABLE GUMS, GUAR, CAROB BEAN, PEANUT OIL, SALT, ACESULFAME POTASSIUM, SUCRALOSE"
Breyers,Layered Dessert Brownie Cheesecake,2.8,25,"MILK, CORN SYRUP, SUGAR, ENRICHED WHEAT FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, POWDERED SUGAR, SUGAR, CORNSTARCH, COCOA (PROCESSED WITH ALKALI), WATER, PALM KERNEL OIL, SOYBEAN OIL, NONFAT DRY MILK, SOY LECITHIN (EMULSIFIER), NATURAL FLAVORS, FRUCTOSE, CHEESECAKE PIECES WITH GRAHAM CRUST, CREAM CHEESE, PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM, SUGAR, PASTEURIZED WHOLE EGGS, GRAHAM CRUMB, UNBLEACHED UNENRICHED WHEAT FLOUR, WHOLE WHEAT/GRAHAM FLOUR, SUGAR, CANOLA OIL, MOLASSES, HONEY, SALT, SODIUM BICARBONATE, CORNSTARCH, PALM OIL, NATURAL FLAVOR, SWEETENED LEMON ZEST, LEMON PEEL, SUGAR, LEMON OIL, GUAR GUM, COCONUT OIL, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, CREAM, CREAM CHEESE, PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM, DRIED CANE SYRUP, VEGETABLE GUMS, GUAR, CAROB BEAN GUM, MONO AND DIGLYCERIDES, NATURAL FLAVOR, SALT, PECTIN, SUGAR, ANNATTO (FOR COLOR)"
Breyers,Butter Pecan,2.6,74,"MILK, SUGAR, CORN SYRUP, CREAM, PECANS, WHEY, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, SALT, PEANUT OIL, BUTTER, CREAM, SALT, NATURAL FLAVOR, LACTASE ENZYME, ANNATTO (FOR COLOR), VITAMIN A PALMITATE"
Breyers,Layered Dessert S'mores,2.5,31,"MILK, CORN SYRUP, SUGAR, WHEAT FLOUR, BUTTER, CREAM (MILK), SALT, PALM OIL, CORN SYRUP, NONFAT MILK, WATER, RICE FLOUR, NATURAL FLAVORS, SALT, WHEAT FLOUR, SUGAR, PALM OIL, MOLASSES, SPICES, SALT, BAKING SODA, NATURAL FLAVOR, SOYBEAN LECITHIN, FRUCTOSE, COCONUT OIL, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, CREAM, VEGETABLE GUMS, GUAR, CAROB BEAN, MONO AND DIGLYCERIDES, NATURAL FLAVOR, VANILLA EXTRACT"
Breyers,Coffee,2.4,52,"MILK, CORN SYRUP, SUGAR, CREAM, COFFEE EXTRACT, WHEY, VEGETABLE GUMS, CAROB BEAN, TARA, GUAR, MONO AND DIGLYCERIDES, NATURAL FLAVOR, VITAMIN A PALMITATE, ANNATTO (FOR COLOR)"
Breyers,Chocolate Chip Cookie Dough,1.2,89,"MILK, SUGAR, CORN SYRUP, CREAM, ENRICHED WHEAT FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, WHEY, PALM OIL, COCONUT OIL, COCOA POWDER (PROCESSED WITH ALKALI), SOYBEAN OIL, CHOCOLATE LIQUOR, RICE FLOUR, COCOA BUTTER, MOLASSES, SALT, NATURAL FLAVOR, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, BAKING SODA, VANILLA BEANS, MILK FAT, SOY LECITHIN, ANNATTO (FOR COLOR), VITAMIN A PALMITATE"
