brand,name,rating,rating_count,ingredients
Talenti,LEMON BERRY PIE,4.2,31,"MILK, SUGAR†, CREAM, LEMON JUICE, WHEAT FLOUR, TAPIOCA SYRUP, WATER, COCONUT OIL, BLUEBERRIES, DEXTROSE†, EGG YOLKS, PALM OIL, NATURAL FLAVOR, WHEAT BRAN, WHOLE EGG, CAROB BEAN GUM, GUAR GUM, SALT, BAKING SODA, LEMON PEEL, WHEAT GERM, SOY LECITHIN, PECTIN, RED CABBAGE JUICE (COLOR)"
Talenti,BANANA CARAMEL CRUNCH,4.2,25,"MILK, BANANAS, SUGAR†, WHEAT FLOUR, CREAM, NONFAT MILK, EGG YOLKS, WATER, EGG WHITES, COCONUT OIL, CORN SYRUP†, LEMON JUICE, WHOLE EGGS, CAROB BEAN GUM, BAKING SODA, VANILLA EXTRACT, NATURAL FLAVOR, SALT"
Talenti,SEA SALT CARAMEL GELATO,4.1,146,"MILK, SKIM MILK, SUGAR, CREAM, EGG YOLK AND WHOLE EGG, CORN SYRUP, COCONUT OIL, DEXTROSE, COCOA (PROCESSED WITH ALKALI), SEA SALT, CAROB BEAN GUM, VANILLA EXTRACT, SOY LECITHIN, NATURAL FLAVOR"
Talenti,BLACK RASPBERRY CHOCOLATE CHIP GELATO,4.0,105,"MILK, SUGAR, CREAM, BLACK RASPBERRIES, DEXTROSE, CHOCOLATE (PROCESSED WITH ALKALI), COCONUT OIL, CAROB GUM, SOYBEAN OIL, VANILLA EXTRACT, SOY LECITHIN NATURAL FLAVOR"
Talenti,MADAGASCAN VANILLA BEAN GELATO,3.9,198,"MILK, SUGAR, CREAM, DEXTROSE, VANILLA EXTRACT, SUNFLOWER LECITHIN, CAROB BEAN GUM, GUAR GUM, NATURAL FLAVOR, LEMON PEEL"
Talenti,RASPBERRY CHEESECAKE GELATO,3.9,76,"MILK, SUGAR, CREAM, CREAM CHEESE (MILK, CREAM, CHEESE CULTURE, SALT, CAROB GUM, GUAR GUM, XANTHAN GUM), CORN SYRUP, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THAIMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), BALSAMIC VINEGAR (RED WINE VINEGAR, GRAPE MUST), EGG, WHOLE WHEAT GRAHAM FLOUR, RASPBERRY PUREE, VANILLA EXTRACT, CAROB GUM, MODIFIED CORN STARCH, PALM OIL, BROWN SUGAR, NATURAL FLAVOR, COLOR ADDED, CARRAGEENAN, HONEY, SALT, SOY LECITHIN"
Talenti,VANILLA BLUEBERRY CRUMBLE GELATO,3.9,70,"MILK, SUGAR, CREAM, TAPIOCA SYRUP, DEXTROSE, ROLLED OATS, COCONUT OIL, WHEAT FLOUR, BLUEBERRIES, VANILLA EXTRACT, BROWN SUGAR, NATURAL FLAVOR, CAROB BEAN GUM, VANILLA BEANS, PECTIN, GUAR GUM, COLOR ADDED, SALT, CITRIC ACID, LEMON PEEL"
Talenti,KEY LIME PIE GELATO,3.6,208,"MILK, SUGAR, CREAM, DEXTROSE, WHEAT FLOUR, COTTONSEED OIL, WHOLE WHEAT GRAHAM FLOUR, COCONUT OIL, CANOLA OIL, CAROB GUM, VANILLA EXTRACT, PALM AND PALM KERNEL OIL, WHEAT BRAN, HONEY, NATURAL FLAVOR, SALT, MOLASSES, SOY LECITHIN, WHEAT GERM, CINNAMON"
Talenti,VANILLA CARAMEL SWIRL GELATO,3.6,38,"MILK, SUGAR, CREAM, SKIM MILK, DEXTROSE, VANILLA EXTRACT, CORN SYRUP, CAROB GUM, NATURAL FLAVOR, LEMON PEEL, VANILLA BEANS"
Talenti,CHOCOLATE CHIP COOKIE DOUGH GELATO,2.8,104,"MILK, SUGAR, CREAM, WHEAT FLOUR, DEXTROSE, SKIM MILK, CHOCOLATE LIQUOR, VANILLA EXTRACT, EGGS, COCOA (PROCESSED WITH ALKALI), MOLASSES, SOYBEAN OIL, CAROB BEAN GUM, RICE FLOUR, NATURAL FLAVOR, SALT, COCOA BUTTER, LEMON PEEL, SOY LECITHIN"
