brand,name,rating,rating_count,ingredients
Breyers,OREO® Snack Cups 10ct,5.0,2,"SKIM MILK, LIQUID SUGAR, SUGAR, WATER, CREAM, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, OREO COOKIE PIECES, UNBLEACHED ENRICHED FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, SUGAR, AND/OR PALM OIL, AND/OR CANOLA OIL, COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP, LEAVENING, AND/OR BAKING SODA, AND/OR CALCIUM PHOSPHATE, SALT, SOY LECITHIN, CHOCOLATE, ARTIFICIAL FLAVOR, WHEY, PROPYLENE GLYCOL MONOESTERS, MONO AND DIGLYCERIDES, VEGETABLE GUM (GUAR), NATURAL FLAVOR, CELLULOSE GUM, CARRAGEENAN, VITAMIN A PALMITATE"
Breyers,Chocolate Snack Cups 10ct,4.9,26,"MILK, CREAM, SUGAR, WATER, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, VEGETABLE GUM (TARA), NATURAL FLAVOR"
Breyers,No Sugar Added Caramel Swirl,4.9,19,"MILK, MALTITOL SYRUP, MALTODEXTRIN (CORN), CREAM, MALTITOL, POLYDEXTROSE, WHEY, COCONUT OIL, BUTTER, CREAM, SALT, MONO AND DIGLYCERIDES, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, SALT, CARAMEL (FOR COLOR), NATURAL FLAVORS, SUCRALOSE, SOY LECITHIN, ACESULFAME POTASSIUM, VITAMIN A PALMITATE, ANNATTO (FOR COLOR)"
Breyers,Non-Dairy Vanilla Peanut Butter,4.8,116,"ALMOND MILK, WATER, ALMONDS, LIQUID SUGAR, SUGAR, WATER, PEANUTS, COCONUT OIL, CORN SYRUP, PEA PROTEIN, VEGETABLE GUMS, CAROB BEAN GUM, GUAR GUM, MONO AND DIGLYCERIDES, PEANUT OIL, SALT, NATURAL FLAVOR (COCONUT)"
Breyers,Chocolate,4.7,225,"MILK, CREAM, SUGAR, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, VEGETABLE GUM (TARA), NATURAL FLAVOR"
Breyers,Lactose Free Chocolate,4.7,24,"SKIM MILK, SUGAR, CORN SYRUP, CREAM, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, SALT, LACTASE ENZYME, VITAMIN A PALMITATE, NATURAL FLAVOR"
Breyers,CarbSmart™ Caramel Swirl Bar,4.7,18,"MILK, WATER, CARAMEL SWIRL, SUGAR, WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, NONFAT MILK SOLIDS, BUTTER, CREAM, SALT, SALT, MOLASSES, PECTIN, SOY LECITHIN, NATURAL FLAVOR, POTASSIUM SORBATE (PRESERVATIVE), SODIUM CITRATE, LACTIC ACID, MALTITOL SYRUP, POLYDEXTROSE, COCONUT OIL, WHEY, GLYCERIN, CREAM, SOLUBLE CORN FIBER, VEGETABLE GUMS, CAROB BEAN GUM, GUAR GUM, CARAMEL (FOR COLOR), MONO AND DIGLYCERIDES, NATURAL FLAVOR, ACESULFAME POTASSIUM, SUCRALOSE"
Breyers,Vanilla Chocolate,4.6,95,"MILK, CREAM, SUGAR, WHEY, DUTCHED COCOA (PROCESSED WITH ALKALI), VEGETABLE GUMS, TARA, CAROB BEAN, NATURAL FLAVOR"
Breyers,Natural Vanilla Snack Cups 10ct,4.6,28,"MILK, CREAM, SUGAR, WATER, VEGETABLE GUM (TARA), NATURAL FLAVOR"
Breyers,CarbSmart™ Mint Fudge Bar,4.6,20,"MILK, WATER, FUDGE SWIRL, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, SUGAR, COCOA, MODIFIED FOOD STARCH (TAPIOCA), NATURAL FLAVOR, SALT, LACTIC ACID, POTASSIUM SORBATE (PRESERVATIVE), MALTITOL SYRUP, POLYDEXTROSE, COCONUT OIL, WHEY, GLYCERIN, CREAM, SOLUBLE CORN FIBER, VEGETABLE GUMS, CAROB BEAN GUM, GUAR GUM, MONO AND DIGLYCERIDES, NATURAL FLAVOR, ACESULFAME POTASSIUM, COLOR ADDED, SUCRALOSE"
