brand,name,rating,rating_count,ingredients
HaagenDazs,Honey Salted Caramel Almond Ice Cream,5.0,103,"CREAM, SKIM MILK, SUGAR, SWEETENED CONDENSED MILK, CONDENSED MILK, SUGAR, CORN SYRUP, EGG YOLKS, HONEY, BUTTER, CREAM, SALT, SALT, SAFFLOWER OIL, VANILLA EXTRACT, PECTIN, BAKING SODA"
HaagenDazs,Vanilla Caramel White Chocolate TRIO CRISPY LAYERS,5.0,32,"CREAM, SKIM MILK, SUGAR, SWEETENED CONDENSED MILK, CONDENSED MILK, SUGAR, CORN SYRUP, EGG YOLKS, CARAMELIZED SUGAR, SUGAR, WATER, SEA SALT, BAKING SODA, SOY LECITHIN, VANILLA EXTRACT, CREAM, SKIM MILK, SUGAR, EGG YOLKS, SUGAR, COCOA BUTTER, NONFAT DRY MILK, COCONUT OIL, SKIM MILK, SOY LECITHIN, CORN SYRUP, SWEETENED CONDENSED MILK, CONDENSED MILK, SUGAR, CREAM, SUGAR, WATER, BUTTER, CREAM, SALT, SALT, PECTIN, SOY LECITHIN"
HaagenDazs,Peppermint Bark Ice Cream,5.0,31,"WHITE CHOCOLATE ICE CREAM (CREAM, SKIM MILK, SUGAR, CORN SYRUP, EGG YOLKS, NATURAL FLAVOR, COCOA BUTTER), PEPPERMINT BARK PIECES (SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, NONFAT DRY MILK, BUTTERFAT, COCOA, SOY LECITHIN, NATURAL FLAVOR, SALT, CORN SYRUP, VEGETABLE JUICE (FOR COLOR), PEPPERMINT OIL), PEPPERMINT TWISTS CANDY (SUGAR, CORN SYRUP, PALM KERNEL OIL, VEGETABLE JUICE (FOR COLOR), PEPPERMINT OIL, SOY LECITHIN)"
HaagenDazs,Chocolate Fudge Non-Dairy Bar,5.0,22,"WATER, SUGAR, CORN SYRUP, CHOCOLATE, COCONUT OIL, POWDERED SUGAR, SUGAR, CORN STARCH, COCOA BUTTER, SUNFLOWER OIL, COCOA PROCESSED WITH ALKALI, COCOA, SOYBEAN OIL, SOY LECITHIN, PECTIN, VANILLA EXTRACT, SALT, SUNFLOWER LECITHIN"
HaagenDazs,Peppermint Bark Ice Cream Bar,5.0,8,"WHITE CHOCOLATE ICE CREAM: CREAM, SKIM MILK, SUGAR, CORN SYRUP, EGG YOLKS, NATURAL FLAVOR, COCOA BUTTER. DARK CHOCOLATE AND VEGETABLE OIL COATING WITH PEPPERMINT CANDY PIECES: DARK CHOCOLATE (SUGAR, CHOCOLATE, SOY LECITHIN, VANILLA EXTRACT), PEPPERMINT CANDY PIECES: (SUGAR, CORN SYRUP, COCONUT OIL, NATURAL FLAVOR, SOY LECITHIN), COCONUT OIL, SOYBEAN OIL"
HaagenDazs,White Chocolate Raspberry Truffle Ice Cream,4.9,168,"CREAM, SKIM MILK, SUGAR, RASPBERRY PUREE, LACTOSE REDUCED SKIM MILK, CORN SYRUP, EGG YOLKS, COCONUT OIL, SOYBEAN OIL, COCOA PROCESSED WITH ALKALI, COCOA POWDER, NATURAL FLAVOR, LEMON JUICE CONCENTRATE, PECTIN, COCOA BUTTER, SALT, VANILLA EXTRACT"
HaagenDazs,Chocolate Ice Cream,4.9,90,"CREAM, SKIM MILK, CANE SUGAR, COCOA PROCESSED WITH ALKALI, EGG YOLKS"
HaagenDazs,Irish Cream Cookie Squares,4.9,14,"CREAM, SKIM MILK, SUGAR, CORN SYRUP, EGG YOLKS, COFFEE, BOURBON, COCOA, SALT, DARK CHOCOLATE, SUGAR, CHOCOLATE, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL, BLEACHED WHEAT FLOUR, SUGAR, PALM OIL, CORN SYRUP, COCOA PROCESSED WITH ALKALI, MOLASSES, BAKING SODA, SALT, SUGAR, CORN STARCH, SUNFLOWER OIL, COCOA, SALT, SUGAR, COCOA BUTTER, SKIM MILK, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL"
HaagenDazs,Coconut Caramel Non-Dairy,4.9,11,"COCONUT CREAM (COCONUT EXTRACT, WATER), CORN SYRUP, WATER, SUGAR, PECTIN. CARAMEL SWIRL: BROWN SUGAR, COCONUT CREAM (COCONUT EXTRACT, WATER), WATER, SALT, PECTIN"
HaagenDazs,Caramel Soft Dipped Ice Cream Bar,4.9,8,"CARAMEL ICE CREAM: CREAM, SKIM MILK, SUGAR, EGG YOLKS, SWEETENED CONDENSED MILK (CONDENSED MILK SUGAR), CORN SYRUP, SALT, PECTIN, BAKING SODA, VANILLA EXTRACT. CHOCOLATY COATING: SUGAR, COCOA PROCESSED WITH ALKALI, CANOLA OIL, PALM OIL, MILKFAT, SOY LECITHIN. SALTED CARAMEL SWIRL: CORN SYRUP, SWEETENED CONDENSED MILK (CONDENSED MILK SUGAR), CREAM, SUGAR, WATER, BUTTER (CREAM, SALT), SALT, PECTIN, MILKFAT, SOY LECITHIN.
CONTAINS: MILK, EGG AND SOY INGREDIENTS"
