brand,stars,title,text
BenJerrys,1,Tiniest amount of cookie dough of all time,"I love Ben & Jerry’s which is why I am writing this review - I feel they would care to know how disappointing this flavor is! The core in the pint I purchased was super small, making it a total disappointment. I kept digging hoping it would get bigger and it just ended up almost disappearing. The ice cream as always was delicious, but I felt I would’ve been more satisfied with my old favorite standby, half baked."
BenJerrys,1,Is this a joke?,I was so excited for this because I love cookie dough but there’s never enough. I thought the core would look how it’s advertised. Spoiler alert: It didn’t. Barely any dough. Didn’t go all the way through consistently and couldn’t even be in the center. Also the dough didn’t taste great? Idk why but I like the vanilla better. Should have read the reviews first it was such a let down and I feel like I wasted my money.
BenJerrys,1,wish it was better,"Even after reading all the reviews that said it wasn't good I still went and bought it anyways because it looked & sounded so good, but sadly the reviews are right. most of the time with cookie dough ice cream I wish there was more cookie dough (i thought this would be the super cookie-doughy flavor i always dreamed of.. theres not even that much in it), but with this pint i actually prefer the part around the core that doesn't have any. ben & jerry if u see this please re-make this flavor with better quality cookie dough, it had so much potential"
BenJerrys,1,Heartbreaker,"I preordered this as soon as they announced that it was available in the online store. I was so excited to dig in but while the ice cream is delicious, the cookie dough core is terrible. Rock hard, gritty, sandy, and very inconsistent in size from the top of the pint to the bottom. I hate having to write this review, especially because the other 2 new cookie cores were pretty good, but this one is REALLY dreadful! I’m really bummed because I wanted badly to love it."
BenJerrys,1,Disappointed,"I waited and waited for this to be available at my local store. Yuck. Hard, grainy cookie dough core? This is nothing like cookie dough. Don’t be fooled, the cookie dough core is SMALL! I’m a Ben and Jerry’s fan, but you lost me here. So disappointed!"
BenJerrys,1,Let down,"Such a let down from Ben and Jerry’s. The cookie dough core was hard, dry, and basically tasted like granulated sugar. I am so underwhelmed by all the cores but this one was by far the most disappointing. Stick to the regular pints: my opinion best flavor is Gimme S’more."
BenJerrys,1,Tasted like sweet sand.,Bought this last night and was incredibly disappointed. Never write reviews but don’t buy this. The cookie dough was literally like sweet sand. It was gritty and grainy. Threw us away after about 5 bites. I’ll stick to the original Cookie Dough.
BenJerrys,1,The core was a disappointment!,"I bought this, excited to try it as cookie dough is my favorite. Well the core was rock solid. It had to be eaten in 1 huge chunk instead of mixing with the ice cream. Very disappointed!"
BenJerrys,1,An overhyped disappointment,"I will not buy this again. It's good ice cream, but the ""core"" is a joke. People buy cookie dough ice cream for , surprise... the cookie dough. This ""core"" tastes like grainy sugar and shortening and not like cookie dough at all. And there's less than ever. The company found a way to give customers less if what they want with the hopes that all the hype about ""new and improved"" sways people. Well, I'm not fooled and I believe most others won't be either. It's overpriced and a big disappointment. I repeat, I will not buy again."
BenJerrys,1,Simply AWFUL - Who signed off on this?,"The idea sounded so amazing, so I did not think it could possibly be as bad as the reviews said it was...Well I was wrong, it is actually worse. The ice cream itself is fine, but the core tastes like just brown sugar crystals. Not even remotely the same flavor or texture as their normal cookie dough. Did someone actually taste this before signing off on it? This is a total miss and anyone who was fooled into buying it should be provided a refund."
BenJerrys,1,Huge disappointment,This is not the same flavor as the well known Chocolate Chip Cookie Dough.
BenJerrys,1,Not much cookie dough,"I bought this at target because they didn’t have the original cookie dough I liked. It’s not good y’all. The dough seems like a new recipe. It’s got an odd texture, like sugar grains didn’t mix well and the chocolate chips are weird. The worst part is there’s not enough weird dough compared to the vanilla ice cream. I hope the old cookie dough hasn’t been replaced with this!"
BenJerrys,1,"Great concept, horrible execution","I was really excited to see this in my grocer’s freezer. Having had karamel sutra core with its strong ratio of caramel to ice cream, I thought it would be great to get a nice glob of cookie dough going down the center of the pint. Instead, I was left incredibly disappointed with hardly any cookie dough in the entire container. Even worse, the dough included seemed to be dry and crumbly compared to what I’m used to in regular cookie dough. Very disappointing, I won’t be buying this one again unless they improve the formulation and increase the cookie dough. Worst b&j pint I’ve ever purchased."
BenJerrys,1,This is horrible,"The regular chocolate chip cookie dough is my favorite and has been for YEARS, its soooo BOMB!! This iteration of it is absolutely disgusting the cookie core is not dough its literally just sugar, and it doesnt even go throughout the entire pint, not even half, not even in the center , its the grossest thing .Some of the other cores are really good which is why i gave this one a try but how could you get chocolate chip cookie dough wrong . I dont normally write reviews but I felt like i HAD to warn someone."
BenJerrys,1,Could've been better.,"When I first heard this flavor was coming out I was so excited. I waited 4 weeks to get my hands on one of these and finally found one yesterday at Wawa. I read the reviews before purchasing this, but decided to give this the benefit of the doubt. Unfortunately, everyone was right. The cookie dough has a sandy texture and crumbles to pieces and it doesn't taste very good either. Plus the core didnt even go all the way to the bottom of the container...definately wasn't worth the $5.99 I paid for it. :("
BenJerrys,1,Extremely disappointed,Wow I love ben and jerrys but this one is sad. I debated between this one and another core one but chose this one due to my love of cookie dough. Well I wish I read the reviews first because they were incredibly right. Grainy cookie dough and the core in mine didn't even go half way down!!!
BenJerrys,1,Save your money for a better pint,I was soooooo excited to try this!! Then I did and immediately wished I got something else. The ice cream was good but the supposed cookie dough core was like eating brown sugar and chocolate chips. It was so nasty that I ate around it. Truly disappointed....I have never been let down before so I guess there is a first time for everything.
