brand,key,name,subhead,description,rating,rating_count,ingredients
Breyers,49_breyers,Chocolate Chip Cookie Dough,,"With creamy vanilla and chunks of cookie dough, Breyers® Chocolate Chip Cookie Dough is sure to satisfy any craving! Less bake time, more play time! Chunks of chewy chocolate chip cookie dough folded into Breyers® creamy vanilla make Breyers® Chocolate Chip Cookie Dough a chunky, chewy taste-bud pleaser.

Chunks, chips, and vanilla? Not only delicious, but also made with high quality ingredients like fresh cream, sugar and milk. In fact, our milk and cream is 100% Grade A from American cows not treated with artificial growth hormones*.

Try Breyers® Chocolate Chip Cookie Dough and let us know what you think at !

*The FDA states that no significant difference has been shown between dairy derived from rBST-treated and non-rBST-treated cows.",1.2,89,"MILK, SUGAR, CORN SYRUP, CREAM, ENRICHED WHEAT FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, WHEY, PALM OIL, COCONUT OIL, COCOA POWDER (PROCESSED WITH ALKALI), SOYBEAN OIL, CHOCOLATE LIQUOR, RICE FLOUR, COCOA BUTTER, MOLASSES, SALT, NATURAL FLAVOR, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, BAKING SODA, VANILLA BEANS, MILK FAT, SOY LECITHIN, ANNATTO (FOR COLOR), VITAMIN A PALMITATE"
BenJerrys,50_bj,Chocolate Chip Cookie Dough Core,Cookie Milk Ice Cream with Fudge Chips & a Chocolate Chip Cookie Dough Core,"Our latest cookie dough creation is boldly loaded like never before, with ice cream that tastes like a just-dunked-cookie, & an epic core of chocolate-chippity dough where no dough has ever been.",1.8,166,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, SOYBEAN OIL, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, CHOCOLATE CHIPS (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, SOY LECITHIN, NATURAL FLAVOR), BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), CORN SYRUP, NATURAL FLAVOR, COCOA POWDER, EGGS, MOLASSES, SALT, GUAR GUM, BROWN SUGAR, CHOCOLATE LIQUOR, VANILLA EXTRACT, SOY LECITHIN, CARRAGEENAN, BAKING SODA, COCOA BUTTER"
Breyers,51_breyers,Coffee,,"Enjoy Breyers® Coffee by the scoop and brew up good times! This delicious treat is made with fresh cream and rich, roasted Colombian coffee. Smooth and creamy, it’s a coffee lovers dream come true.

Part of what makes Breyers® Coffee so good is the high quality ingredients that we put into it! Through our partnership with American farmers we use 100% Grade A milk and cream from cows not treated with artificial growth hormones*. We start with ingredients like fresh cream, sugar, and milk, colors and flavors from natural sources, and 100% sustainably farmed fruit and vanilla.

Try Breyers® Coffee and let us know what you think at or follow us @Breyers on Instagram!

*The FDA states that no significant difference has been shown between dairy derived from rBST-treated and non-rBST-treated cows. Enjoy Breyers® Coffee by the scoop and brew up good times! This frozen treat is made with fresh cream and rich, roasted Colombian coffee.",2.4,52,"MILK, CORN SYRUP, SUGAR, CREAM, COFFEE EXTRACT, WHEY, VEGETABLE GUMS, CAROB BEAN, TARA, GUAR, MONO AND DIGLYCERIDES, NATURAL FLAVOR, VITAMIN A PALMITATE, ANNATTO (FOR COLOR)"
HaagenDazs,66_hd,Vanilla Milk Chocolate Almond Ice Cream Bar,,"We start with pure, sweet vanilla and blend it with sweet, fresh cream to make our incredibly smooth vanilla ice cream. Then we dip it in a crunchy roasted almond and milk chocolate coating.",2.5,224,"CREAM, SKIM MILK, SUGAR, EGG YOLKS, MILK CHOCOLATE, SUGAR, WHOLE MILK POWDER, CHOCOLATE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, ALMONDS ROASTED IN VEGETABLE OIL, SAFFLOWER OIL, COCONUT OIL"
Breyers,66_breyers,Layered Dessert S'mores,,"Calling all S'mores lovers! Make sure you don't miss out on our Layered Dessert S'mores. We start with smooth Breyers® and stir in sweet graham pieces between two layers of chocolate with marshmallows.

Not only delicious, but also made with high quality ingredients like fresh cream, sugar and milk. In fact, our milk and cream is 100% Grade A from American cows not treated with artificial growth hormones*. Our commitment to using high quality ingredients goes back more than 150 years to give you a great tasting dessert.

Try Breyers® Layered Dessert S'mores and let us know what you think at !

*The FDA states that no significant difference has been shown between dairy derived from rBST-treated and non-rBST-treated cows.",2.5,31,"MILK, CORN SYRUP, SUGAR, WHEAT FLOUR, BUTTER, CREAM (MILK), SALT, PALM OIL, CORN SYRUP, NONFAT MILK, WATER, RICE FLOUR, NATURAL FLAVORS, SALT, WHEAT FLOUR, SUGAR, PALM OIL, MOLASSES, SPICES, SALT, BAKING SODA, NATURAL FLAVOR, SOYBEAN LECITHIN, FRUCTOSE, COCONUT OIL, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, CREAM, VEGETABLE GUMS, GUAR, CAROB BEAN, MONO AND DIGLYCERIDES, NATURAL FLAVOR, VANILLA EXTRACT"
Breyers,38_breyers,Butter Pecan,,"Discover Breyers® Butter Pecan with rich vanilla and butter-roasted pecan pieces. So good, it’s nuts! Our pecans were roasted in butter and then surrounded by delicious Breyers® vanilla to give you a delicious tasting dessert.

Here at Breyers® we believe that the quality of our ingredients makes delicious desserts, and that’s why we use 100% Grade A milk and cream that comes from cows not treated with artificial growth hormones*.

Try it yourself and leave us a review on ! Or follow us @Breyers on Instagram!",2.6,74,"MILK, SUGAR, CORN SYRUP, CREAM, PECANS, WHEY, VEGETABLE GUMS, CAROB BEAN, GUAR, TARA, MONO AND DIGLYCERIDES, SALT, PEANUT OIL, BUTTER, CREAM, SALT, NATURAL FLAVOR, LACTASE ENZYME, ANNATTO (FOR COLOR), VITAMIN A PALMITATE"
HaagenDazs,10_hd,Chocolate Soft Dipped Ice Cream Bar,,Introducing New Soft Dipped Chocolate Ice Cream Bars. A decadent pairing of rich chocolate ice cream covered in a soft chocolate truffle coating.,2.6,25,"CHOCOLATE ICE CREAM: CREAM, SKIM MILK, SUGAR, COCOA PROCESSED WITH ALKALI, EGG YOLKS. CHOCOLATY COATING: SUGAR, COCOA PROCESSED WITH ALKALI, CANOLA OIL, PALM OIL, SOY LECITHIN.
CONTAINS: MILK, EGG AND SOY INGREDIENTS"
HaagenDazs,40_hd,Peanut Butter Chip HEAVEN Light Ice Cream,,"Introducing new HEAVEN Peanut Butter Chip light ice cream. Satisfy your sweet tooth with vanilla light ice cream, a swirl of creamy peanut butter, and the satisfying crunch of chocolate chips.",2.7,25,"SKIM MILK, CREAM, CANE SUGAR, PEANUTS, EGG YOLKS, CHOCOLATE, COCOA BUTTER, PEANUT OIL, VANILLA EXTRACT, SALT, VITAMIN A PALMITATE"
Breyers,68_breyers,Layered Dessert Brownie Cheesecake,,"Love brownie cheesecake? What about Breyers®? Now you can get both delicious desserts in just one scoop! We start with smooth cheesecake Breyers® and stir in real cheesecake pieces and surround it by two layers of chocolate with brownies.

Not only delicious, but also made with high quality ingredients like fresh cream, sugar and milk. In fact, our milk and cream is 100% Grade A from American cows not treated with artificial growth hormones*. We use colors and flavors from natural sources and only sustainably farmed fruit and vanilla**. Our commitment to using high quality ingredients goes back more than 150 years to give you a great tasting dessert.

Make sure you don't miss out on our Breyers® Layered Dessert Brownie Cheesecake. Try it and let us know what you think at !

*The FDA states that no significant difference has been shown between dairy derived from rBST-treated and non-rBST-treated cows. **Our product, before the inclusion of any candies, cookies, sauces or fruit from other suppliers, will fully abide by this claim. Raspberries are not sustainably farmed.",2.8,25,"MILK, CORN SYRUP, SUGAR, ENRICHED WHEAT FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, POWDERED SUGAR, SUGAR, CORNSTARCH, COCOA (PROCESSED WITH ALKALI), WATER, PALM KERNEL OIL, SOYBEAN OIL, NONFAT DRY MILK, SOY LECITHIN (EMULSIFIER), NATURAL FLAVORS, FRUCTOSE, CHEESECAKE PIECES WITH GRAHAM CRUST, CREAM CHEESE, PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM, SUGAR, PASTEURIZED WHOLE EGGS, GRAHAM CRUMB, UNBLEACHED UNENRICHED WHEAT FLOUR, WHOLE WHEAT/GRAHAM FLOUR, SUGAR, CANOLA OIL, MOLASSES, HONEY, SALT, SODIUM BICARBONATE, CORNSTARCH, PALM OIL, NATURAL FLAVOR, SWEETENED LEMON ZEST, LEMON PEEL, SUGAR, LEMON OIL, GUAR GUM, COCONUT OIL, DUTCHED COCOA (PROCESSED WITH ALKALI), WHEY, CREAM, CREAM CHEESE, PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM, DRIED CANE SYRUP, VEGETABLE GUMS, GUAR, CAROB BEAN GUM, MONO AND DIGLYCERIDES, NATURAL FLAVOR, SALT, PECTIN, SUGAR, ANNATTO (FOR COLOR)"
Breyers,23_breyers,CarbSmart™ Peanut Butter,,"Breyers® CarbSmart™ proves that fewer carbs doesn't mean less taste. Make sweeter family moments while keeping carb-watchers happy by the bar or by the scoop. Treat yourself to a scoop of Breyers® CarbSmart™ Peanut Butter —5 grams of net carbs+ and 130 calories per serving!

+SEE NUTRITION FACTS FOR MORE INFORMATION +NET CARBS ARE CALCULATED BY SUBTRACTING TOTAL DIETARY FIBER AND SUGAR ALCOHOL FROM TOTAL CARBOHYDRATES",2.8,88,"MILK, CREAM, SORBITOL, MALTODEXTRIN (CORN), PEANUTS, WATER, WHEY, GLYCERIN, SUGAR, MONO AND DIGLYCERIDES, CARAMEL (FOR COLOR), VEGETABLE GUMS, GUAR, CAROB BEAN, PEANUT OIL, SALT, ACESULFAME POTASSIUM, SUCRALOSE"
